mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin
49	49	389/4	389/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	560											
49	49	195/2	195/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	561											
49	49	391/4	391/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	562											
49	49	96	96	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	563											
49	49	193/2	193/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	564											
49	49	97	97	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	565											
49	49	195/2	195/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	566											
49	49	96	96	0.25		0	0	Chord	2/4	3	1	1/16		1/16	1	567											
49	49	193/2	193/2	0.25		1/8	1/8	Chord	2/4	3	1	1/16		1/16	1	568											
49	49	97	97	0.25		1/4	1/4	Chord	2/4	3	1	1/16		1/16	1	569											
49	49	195/2	195/2	0.25		3/8	3/8	Chord	2/4	3	1	1/16		1/16	1	570											
49	49	193/2	193/2	0.0		1/8	1/8	Dynamic	2/4	4	1	0					pp										
49	49	193/2	193/2	0.25		1/8	1/8	Chord	2/4	4	1	1/16		1/16	1	571											
49	49	97	97	0.25		1/4	1/4	Chord	2/4	4	1	1/16		1/16	1	572											
49	49	195/2	195/2	0.25		3/8	3/8	Chord	2/4	4	1	1/16		1/16	1	573											
50	50	98	98	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	574											
50	50	393/4	393/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	575											
50	50	197/2	197/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	576											
50	50	395/4	395/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	577											
50	50	99	99	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	578											
50	50	98	98	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	579											
50	50	98	98	0.25		0	0	Chord	2/4	3	1	1/16		1/16	1	580											
50	50	98	98	0.25		0	0	Chord	2/4	4	1	1/16		1/16	1	581											
51	51	100	100	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	582											
51	51	201/2	201/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	583											
51	51	101	101	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	584											
51	51	203/2	203/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	585											
51	51	100	100	0.0		0	0	Dynamic	2/4	4	1	0					p										
51	51	100	100	2.0		0	0	Chord	2/4	4	1	1/2		1/2	1	586									21		
52	52	102	102	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	587											
52	52	205/2	205/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	588											
52	52	103	103	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	589											
52	52	207/2	207/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	590											
52	52	102	102	2.0		0	0	Chord	2/4	4	1	1/2		1/2	1	591									21		
53	53	104	104	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	592											
53	53	209/2	209/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	593											
53	53	105	105	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	594											
53	53	211/2	211/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	595											
53	53	104	104	1.0		0	0	Chord	2/4	4	1	1/4		1/4	1	596									21		
53	53	105	105	1.0		1/4	1/4	Chord	2/4	4	1	1/4		1/4	1	597									21		
54	54	106	106	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	598											
54	54	213/2	213/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	599											
54	54	107	107	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	600											
54	54	215/2	215/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	601											
54	54	106	106	1.0		0	0	Chord	2/4	4	1	1/4		1/4	1	602									21		
54	54	107	107	1.0		1/4	1/4	Chord	2/4	4	1	1/4		1/4	1	603											
55	55	108	108	0.0		0	0	Dynamic	2/4	1	1	0					p										
55	55	108	108	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	604											
55	55	217/2	217/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	605											
55	55	109	109	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	606											
55	55	219/2	219/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	607											
55	55	108	108	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	608		articStaccatoBelow									
55	55	433/4	433/4	0.25		1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	609		articStaccatoBelow									
55	55	217/2	217/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	610		articStaccatoBelow									
55	55	435/4	435/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	611		articStaccatoBelow									
55	55	109	109	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	612		articStaccatoBelow									
55	55	437/4	437/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	613		articStaccatoBelow									
55	55	219/2	219/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	614		articStaccatoBelow									
55	55	439/4	439/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	615		articStaccatoBelow									
55	55	108	108	0.0		0	0	Dynamic	2/4	3	1	0					p										
55	55	108	108	2.0		0	0	Chord	2/4	3	1	1/2		1/2	1	616									22		
55	55	108	108	1.0		0	0	Chord	2/4	4	1	1/4		1/4	1	617									23		
55	55	109	109	1.0		1/4	1/4	Chord	2/4	4	1	1/4		1/4	1	618									23		
56	56	110	110	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	619											
56	56	221/2	221/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	620											
56	56	111	111	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	621											
56	56	223/2	223/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	622											
56	56	110	110	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	623											
56	56	110	110	2.0		0	0	Chord	2/4	3	1	1/2		1/2	1	624									22		
56	56	110	110	1.0		0	0	Chord	2/4	4	1	1/4		1/4	1	625									23		
56	56	111	111	1.0		1/4	1/4	Chord	2/4	4	1	1/4		1/4	1	626									23		
57	57	112	112	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	627											
57	57	225/2	225/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	628											
57	57	113	113	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	629											
57	57	227/2	227/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	630											
57	57	112	112	1.0		0	0	Chord	2/4	3	1	1/4		1/4	1	631									22		
57	57	113	113	1.0		1/4	1/4	Chord	2/4	3	1	1/4		1/4	1	632									22		
57	57	112	112	1.0		0	0	Chord	2/4	4	1	1/4		1/4	1	633											
58	58	114	114	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	634											
58	58	229/2	229/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	635											
58	58	115	115	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	636											
58	58	231/2	231/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	637											
58	58	114	114	1.0		0	0	Chord	2/4	3	1	1/4		1/4	1	638									22		
58	58	115	115	1.0		1/4	1/4	Chord	2/4	3	1	1/4		1/4	1	639											
59	59	116	116	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	640											
59	59	465/4	465/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	641											
59	59	233/2	233/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	642											
59	59	467/4	467/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	643											
59	59	117	117	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	644											
59	59	469/4	469/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	645											
59	59	235/2	235/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	646											
59	59	471/4	471/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	647											
59	59	116	116	0.0		0	0	Dynamic	2/4	2	1	0					pp										
59	59	116	116	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	648											
59	59	233/2	233/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	649											
59	59	117	117	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	650											
59	59	235/2	235/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	651											
59	59	116	116	2.0		0	0	Chord	2/4	3	1	1/2		1/2	1	652									24		
59	59	116	116	0.0		0	0	Dynamic	2/4	4	1	0					p										
59	59	116	116	2.0		0	0	Chord	2/4	4	1	1/2		1/2	1	653									25		
60	60	118	118	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	654											
60	60	118	118	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	655											
60	60	237/2	237/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	656											
60	60	119	119	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	657											
60	60	239/2	239/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	658											
60	60	118	118	1.0		0	0	Chord	2/4	3	1	1/4		1/4	1	659									24		
60	60	119	119	1.0		1/4	1/4	Chord	2/4	3	1	1/4		1/4	1	660									24		
60	60	118	118	2.0		0	0	Chord	2/4	4	1	1/2		1/2	1	661									25		
61	61	120	120	0.0		0	0	Dynamic	2/4	1	1	0					p										
61	61	120	120	2.0		0	0	Chord	2/4	1	1	1/2		1/2	1	662									26		
61	61	120	120	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	663											
61	61	241/2	241/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	664											
61	61	121	121	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	665											
61	61	243/2	243/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	666											
61	61	120	120	2.0		0	0	Chord	2/4	3	1	1/2		1/2	1	667											
61	61	120	120	1.0		0	0	Chord	2/4	4	1	1/4		1/4	1	668									25		
61	61	121	121	1.0		1/4	1/4	Chord	2/4	4	1	1/4		1/4	1	669									25		
62	62	122	122	2.0		0	0	Chord	2/4	1	1	1/2		1/2	1	670									26		
62	62	122	122	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	671											
62	62	245/2	245/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	672											
62	62	123	123	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	673											
62	62	247/2	247/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	674											
62	62	122	122	2.0		0	0	Chord	2/4	3	1	1/2		1/2	1	675											
62	62	122	122	1.0		0	0	Chord	2/4	4	1	1/4		1/4	1	676									25		
62	62	123	123	1.0		1/4	1/4	Chord	2/4	4	1	1/4		1/4	1	677											
63	63	124	124	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	678									26		
63	63	125	125	1.0		1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	679									26		
63	63	124	124	2.0		0	0	Chord	2/4	2	1	1/2		1/2	1	680									27		
63	63	124	124	0.25		0	0	Chord	2/4	3	1	1/16		1/16	1	681											
63	63	249/2	249/2	0.25		1/8	1/8	Chord	2/4	3	1	1/16		1/16	1	682											
63	63	125	125	0.25		1/4	1/4	Chord	2/4	3	1	1/16		1/16	1	683											
63	63	251/2	251/2	0.25		3/8	3/8	Chord	2/4	3	1	1/16		1/16	1	684											
63	63	124	124	0.25		0	0	Chord	2/4	4	1	1/16		1/16	1	685											
63	63	249/2	249/2	0.25		1/8	1/8	Chord	2/4	4	1	1/16		1/16	1	686											
63	63	125	125	0.25		1/4	1/4	Chord	2/4	4	1	1/16		1/16	1	687											
63	63	251/2	251/2	0.25		3/8	3/8	Chord	2/4	4	1	1/16		1/16	1	688											
64	64	126	126	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	689									26		
64	64	127	127	1.0		1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	690									26		
64	64	126	126	2.0		0	0	Chord	2/4	2	1	1/2		1/2	1	691											
64	64	126	126	0.25		0	0	Chord	2/4	3	1	1/16		1/16	1	692											
64	64	253/2	253/2	0.25		1/8	1/8	Chord	2/4	3	1	1/16		1/16	1	693											
64	64	127	127	0.25		1/4	1/4	Chord	2/4	3	1	1/16		1/16	1	694											
64	64	255/2	255/2	0.25		3/8	3/8	Chord	2/4	3	1	1/16		1/16	1	695											
64	64	126	126	0.25		0	0	Chord	2/4	4	1	1/16		1/16	1	696											
64	64	253/2	253/2	0.25		1/8	1/8	Chord	2/4	4	1	1/16		1/16	1	697											
64	64	127	127	0.25		1/4	1/4	Chord	2/4	4	1	1/16		1/16	1	698											
64	64	255/2	255/2	0.25		3/8	3/8	Chord	2/4	4	1	1/16		1/16	1	699											
65	65	128	128	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	700									26		
65	65	129	129	1.0		1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	701											
65	65	128	128	2.0		0	0	Chord	2/4	2	1	1/2		1/2	1	702									28		
65	65	128	128	0.25		0	0	Chord	2/4	3	1	1/16		1/16	1	703											
65	65	128	128	0.25		0	0	Chord	2/4	4	1	1/16		1/16	1	704											
65	65	257/2	257/2	0.25		1/8	1/8	Chord	2/4	4	1	1/16		1/16	1	705											
65	65	129	129	0.25		1/4	1/4	Chord	2/4	4	1	1/16		1/16	1	706											
65	65	259/2	259/2	0.25		3/8	3/8	Chord	2/4	4	1	1/16		1/16	1	707											
66	66	130	130	2.0		0	0	Chord	2/4	2	1	1/2		1/2	1	708									28		
66	66	130	130	2.0		0	0	Chord	2/4	3	1	1/2		1/2	1	709									29		
66	66	130	130	0.25		0	0	Chord	2/4	4	1	1/16		1/16	1	710											
66	66	261/2	261/2	0.25		1/8	1/8	Chord	2/4	4	1	1/16		1/16	1	711											
66	66	131	131	0.25		1/4	1/4	Chord	2/4	4	1	1/16		1/16	1	712											
66	66	263/2	263/2	0.25		3/8	3/8	Chord	2/4	4	1	1/16		1/16	1	713											
67	67	132	132	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	714											
67	67	265/2	265/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	715											
67	67	133	133	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	716											
67	67	267/2	267/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	717											
67	67	132	132	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	718									28		
67	67	133	133	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	719									28		
67	67	132	132	1.0		0	0	Chord	2/4	3	1	1/4		1/4	1	720									29		
67	67	133	133	1.0		1/4	1/4	Chord	2/4	3	1	1/4		1/4	1	721											
67	67	132	132	1.0		0	0	Chord	2/4	4	1	1/4		1/4	1	722									30		
67	67	133	133	1.0		1/4	1/4	Chord	2/4	4	1	1/4		1/4	1	723									30		
68	68	134	134	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	724											
68	68	269/2	269/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	725											
68	68	135	135	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	726											
68	68	271/2	271/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	727											
68	68	134	134	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	728									28		
68	68	135	135	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	729									28		
68	68	134	134	0.0		0	0	StaffText	2/4	3	1	0							<i>espress.</i>								
68	68	134	134	1.0		0	0	Chord	2/4	3	1	1/4		1/4	1	730									31		
68	68	135	135	1.0		1/4	1/4	Chord	2/4	3	1	1/4		1/4	1	731											
68	68	134	134	1.0		0	0	Chord	2/4	4	1	1/4		1/4	1	732									30		
68	68	135	135	1.0		1/4	1/4	Chord	2/4	4	1	1/4		1/4	1	733											
69	69	136	136	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	734											
69	69	136	136	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	735									28		
69	69	137	137	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	736											
69	69	136	136	2.0		0	0	Chord	2/4	3	1	1/2		1/2	1	737											
69	69	136	136	0.25		0	0	Chord	2/4	4	1	1/16		1/16	1	738											
69	69	273/2	273/2	0.25		1/8	1/8	Chord	2/4	4	1	1/16		1/16	1	739											
69	69	137	137	0.25		1/4	1/4	Chord	2/4	4	1	1/16		1/16	1	740											
69	69	275/2	275/2	0.25		3/8	3/8	Chord	2/4	4	1	1/16		1/16	1	741											
70	70	138	138	2.0		0	0	Chord	2/4	1	1	1/2		1/2	1	742									32		
70	70	138	138	0.25		0	0	Chord	2/4	4	1	1/16		1/16	1	743											
70	70	277/2	277/2	0.25		1/8	1/8	Chord	2/4	4	1	1/16		1/16	1	744											
70	70	139	139	0.25		1/4	1/4	Chord	2/4	4	1	1/16		1/16	1	745											
70	70	279/2	279/2	0.25		3/8	3/8	Chord	2/4	4	1	1/16		1/16	1	746											
71	71	140	140	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	747									32		
71	71	141	141	1.0		1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	748									32		
71	71	140	140	0.25		0	0	Chord	2/4	3	1	1/16		1/16	1	749											
71	71	281/2	281/2	0.25		1/8	1/8	Chord	2/4	3	1	1/16		1/16	1	750											
71	71	141	141	0.25		1/4	1/4	Chord	2/4	3	1	1/16		1/16	1	751											
71	71	283/2	283/2	0.25		3/8	3/8	Chord	2/4	3	1	1/16		1/16	1	752											
71	71	140	140	1.0		0	0	Chord	2/4	4	1	1/4		1/4	1	753									33		
71	71	141	141	1.0		1/4	1/4	Chord	2/4	4	1	1/4		1/4	1	754									33		
72	72	142	142	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	755									32		
72	72	143	143	0.0		1/4	1/4	Dynamic	2/4	1	1	0					other-dynamics								32		
72	72	143	143	1.0		1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	756									32		
72	72	142	142	0.25		0	0	Chord	2/4	3	1	1/16		1/16	1	757											
72	72	285/2	285/2	0.25		1/8	1/8	Chord	2/4	3	1	1/16		1/16	1	758											
72	72	143	143	0.25		1/4	1/4	Chord	2/4	3	1	1/16		1/16	1	759											
72	72	287/2	287/2	0.25		3/8	3/8	Chord	2/4	3	1	1/16		1/16	1	760											
72	72	142	142	1.0		0	0	Chord	2/4	4	1	1/4		1/4	1	761									33		
72	72	143	143	1.0		1/4	1/4	Chord	2/4	4	1	1/4		1/4	1	762											
73	73	144	144	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	763									32		
73	73	145	145	1.0		1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	764											
73	73	144	144	0.0		0	0	Dynamic	2/4	2	1	0					pp										
73	73	144	144	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	765									34		
73	73	145	145	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	766									34		
73	73	145	145	0.25		1/4	1/4	Chord	2/4	3	1	1/16		1/16	1	767											
73	73	291/2	291/2	0.25		3/8	3/8	Chord	2/4	3	1	1/16		1/16	1	768											
73	73	144	144	0.25		0	0	Chord	2/4	4	1	1/16		1/16	1	769											
73	73	289/2	289/2	0.25		1/8	1/8	Chord	2/4	4	1	1/16		1/16	1	770											
74	74	146	146	2.0		0	0	Chord	2/4	1	1	1/2		1/2	1	771											
74	74	146	146	2.0		0	0	Chord	2/4	2	1	1/2		1/2	1	772											
74	74	146	146	0.25		0	0	Chord	2/4	3	1	1/16		1/16	1	773											
74	74	293/2	293/2	0.25		1/8	1/8	Chord	2/4	3	1	1/16		1/16	1	774											
74	74	147	147	0.25		1/4	1/4	Chord	2/4	3	1	1/16		1/16	1	775											
74	74	295/2	295/2	0.25		3/8	3/8	Chord	2/4	3	1	1/16		1/16	1	776											
75	75	148	148	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	777									35		
75	75	149	149	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	778									35		
75	75	299/2	299/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	779									35		
75	75	149	149	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	780											
75	75	299/2	299/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	781											
75	75	149	149	0.25		1/4	1/4	Chord	2/4	3	1	1/16		1/16	1	782											
75	75	299/2	299/2	0.25		3/8	3/8	Chord	2/4	3	1	1/16		1/16	1	783											
75	75	148	148	0.25		0	0	Chord	2/4	4	1	1/16		1/16	1	784											
75	75	297/2	297/2	0.25		1/8	1/8	Chord	2/4	4	1	1/16		1/16	1	785											
76	76	150	150	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	786									35		
76	76	151	151	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	787									35		
76	76	303/2	303/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	788											
76	76	151	151	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	789											
76	76	303/2	303/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	790											
76	76	151	151	0.25		1/4	1/4	Chord	2/4	3	1	1/16		1/16	1	791											
76	76	303/2	303/2	0.25		3/8	3/8	Chord	2/4	3	1	1/16		1/16	1	792											
76	76	150	150	0.25		0	0	Chord	2/4	4	1	1/16		1/16	1	793											
76	76	301/2	301/2	0.25		1/8	1/8	Chord	2/4	4	1	1/16		1/16	1	794											
77	77	152	152	2.0		0	0	Chord	2/4	1	1	1/2		1/2	1	795											
77	77	153	153	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	796											
77	77	307/2	307/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	797											
77	77	152	152	0.0		0	0	Dynamic	2/4	3	1	0					p										
77	77	152	152	0.25		0	0	Chord	2/4	3	1	1/16		1/16	1	798											
77	77	305/2	305/2	0.25		1/8	1/8	Chord	2/4	3	1	1/16		1/16	1	799											
77	77	153	153	0.25		1/4	1/4	Chord	2/4	4	1	1/16		1/16	1	800											
77	77	307/2	307/2	0.25		3/8	3/8	Chord	2/4	4	1	1/16		1/16	1	801											
78	78	154	154	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	802											
78	78	154	154	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	803											
78	78	309/2	309/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	804											
78	78	155	155	0.25		1/4	1/4	Chord	2/4	3	1	1/16		1/16	1	805											
78	78	311/2	311/2	0.25		3/8	3/8	Chord	2/4	3	1	1/16		1/16	1	806											
78	78	154	154	0.25		0	0	Chord	2/4	4	1	1/16		1/16	1	807											
78	78	309/2	309/2	0.25		1/8	1/8	Chord	2/4	4	1	1/16		1/16	1	808											
79	79	157	157	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	809											
79	79	315/2	315/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	810											
79	79	157	157	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	811											
79	79	315/2	315/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	812											
79	79	156	156	0.25		0	0	Chord	2/4	3	1	1/16		1/16	1	813											
79	79	313/2	313/2	0.25		1/8	1/8	Chord	2/4	3	1	1/16		1/16	1	814											
79	79	157	157	0.25		1/4	1/4	Chord	2/4	4	1	1/16		1/16	1	815											
79	79	315/2	315/2	0.25		3/8	3/8	Chord	2/4	4	1	1/16		1/16	1	816											
80	80	158	158	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	817											
80	80	317/2	317/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	818											
80	80	158	158	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	819											
80	80	317/2	317/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	820											
80	80	159	159	0.25		1/4	1/4	Chord	2/4	3	1	1/16		1/16	1	821											
80	80	319/2	319/2	0.25		3/8	3/8	Chord	2/4	3	1	1/16		1/16	1	822											
80	80	158	158	0.25		0	0	Chord	2/4	4	1	1/16		1/16	1	823											
80	80	317/2	317/2	0.25		1/8	1/8	Chord	2/4	4	1	1/16		1/16	1	824											
81	81	161	161	0.0		1/4	1/4	Dynamic	2/4	2	1	0					pp										
81	81	161	161	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	825		articStaccatoBelow									
81	81	323/2	323/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	826		articStaccatoBelow									
81	81	160	160	0.0		0	0	Dynamic	2/4	3	1	0					pp										
81	81	160	160	0.5		0	0	Chord	2/4	3	1	1/8		1/8	1	827		articStaccatoBelow									
81	81	321/2	321/2	0.5		1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	828		articStaccatoBelow									
82	82	163	163	0.0		1/4	1/4	StaffText	2/4	2	1	0							<i>stacc.</i>								
82	82	163	163	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	829		articStaccatoBelow									
82	82	327/2	327/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	830		articStaccatoBelow									
82	82	162	162	0.0		0	0	StaffText	2/4	3	1	0							<i>stacc.</i>								
82	82	162	162	0.5		0	0	Chord	2/4	3	1	1/8		1/8	1	831		articStaccatoBelow									
82	82	325/2	325/2	0.5		1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	832		articStaccatoBelow									
83	83	165	165	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	833		articStaccatoBelow									
83	83	331/2	331/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	834		articStaccatoBelow									
83	83	164	164	0.5		0	0	Chord	2/4	3	1	1/8		1/8	1	835		articStaccatoBelow									
83	83	329/2	329/2	0.5		1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	836		articStaccatoBelow									
83	83	165	165	0.5		1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	837		articStaccatoBelow									
83	83	331/2	331/2	0.5		3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	838		articStaccatoBelow									
84	84	166	166	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	839		articStaccatoBelow									
84	84	333/2	333/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	840		articStaccatoBelow									
84	84	167	167	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	841		articStaccatoBelow									
84	84	335/2	335/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	842		articStaccatoBelow									
84	84	166	166	0.5		0	0	Chord	2/4	3	1	1/8		1/8	1	843		articStaccatoBelow									
84	84	333/2	333/2	0.5		1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	844		articStaccatoBelow									
